"county_full","state_id","lng","lat","population","SVI","COUNTY","COUNTYTYPE"
"Palm Beach County","FL",-80.4655,26.6476,1494805,0.803,"Palm Beach","County"
"Palo Pinto County","TX",-98.313,32.7532,28569,0.4941,"Palo Pinto","County"
"Panola County","TX",-94.3056,32.1624,22540,0.4466,"Panola","County"
"Pasco County","FL",-82.392,28.3092,569211,0.3636,"Pasco","County"
"Pearl River County","MS",-89.5896,30.7688,56351,0.1481,"Pearl River","County"
"Perry County","AL",-87.2944,32.6385,8479,0.9242,"Perry","County"
"Perry County","MS",-88.9924,31.172,11511,0.321,"Perry","County"
"Pickens County","AL",-88.0887,33.2808,18925,0.803,"Pickens","County"
"Pike County","AL",-85.9409,31.8027,32997,0.5758,"Pike","County"
"Pike County","MS",-90.4042,31.1748,40098,0.8395,"Pike","County"
"Pinellas County","FL",-82.7255,27.9198,959918,0.3182,"Pinellas","County"
"Plaquemines Parish","LA",-89.61,29.4406,23305,0.2063,"Plaquemines","Parish"
"Pointe Coupee Parish","LA",-91.6008,30.7095,20652,0.4286,"Pointe Coupee","Parish"
"Polk County","FL",-81.6976,27.9489,736229,0.8485,"Polk","County"
"Polk County","TX",-94.83,30.7927,50536,0.7233,"Polk","County"
"Putnam County","FL",-81.7443,29.6087,73604,0.9394,"Putnam","County"
"Quitman County","MS",-90.2891,34.2514,6113,0.8519,"Quitman","County"
"Rains County","TX",-95.7934,32.8703,12257,0.1344,"Rains","County"
"Randolph County","AL",-85.4591,33.2938,22179,0.2576,"Randolph","County"
"Rapides Parish","LA",-92.5332,31.1986,129536,0.7143,"Rapides","Parish"
"Reagan County","TX",-101.5231,31.3662,3308,0.1937,"Reagan","County"
"Real County","TX",-99.8222,29.8318,2830,0.4862,"Real","County"
"Red River County","TX",-95.0503,33.6207,11627,0.3992,"Red River","County"
"Red River Parish","LA",-93.3398,32.0931,7631,0.4444,"Red River","Parish"
"Refugio County","TX",-97.1656,28.3253,6718,0.7549,"Refugio","County"
"Richland Parish","LA",-91.7635,32.4178,20028,0.7619,"Richland","Parish"
"Robertson County","TX",-96.5129,31.027,16912,0.5415,"Robertson","County"
"Runnels County","TX",-99.9762,31.8311,9858,0.166,"Runnels","County"
"Rusk County","TX",-94.7618,32.1077,52755,0.4625,"Rusk","County"
"Sabine County","TX",-93.8518,31.3432,9980,0.3162,"Sabine","County"
"Sabine Parish","LA",-93.5547,31.564,22209,0.746,"Sabine","Parish"
"San Augustine County","TX",-94.1682,31.3942,7920,0.8854,"San Augustine","County"
"San Jacinto County","TX",-95.1669,30.5795,27666,0.6245,"San Jacinto","County"
"San Patricio County","TX",-97.5188,28.0092,68942,0.8024,"San Patricio","County"
"San Saba County","TX",-98.8176,31.1552,5779,0.3123,"San Saba","County"
"Santa Rosa County","FL",-87.0219,30.7004,188994,0.0606,"Santa Rosa","County"
"Sarasota County","FL",-82.3315,27.1845,439392,0.0758,"Sarasota","County"
"Schleicher County","TX",-100.5383,30.8974,2474,0.3676,"Schleicher","County"
"Scott County","MS",-89.5376,32.4064,27943,0.7531,"Scott","County"
"Seminole County","FL",-81.2363,28.717,471321,0.1515,"Seminole","County"
"Shackelford County","TX",-99.354,32.7359,3134,0.1423,"Shackelford","County"
"Sharkey County","MS",-90.8132,32.8798,3910,0.9383,"Sharkey","County"
"Shelby County","TX",-94.145,31.7924,24157,0.7984,"Shelby","County"
"Simpson County","MS",-89.9195,31.9132,25889,0.2963,"Simpson","County"
"Smith County","MS",-89.5067,32.0177,14310,0.358,"Smith","County"
"St. Bernard Parish","LA",-89.5549,29.8691,44038,0.8095,"St. Bernard","Parish"
"St. Charles Parish","LA",-90.3582,29.9055,52191,0.0635,"St. Charles","Parish"
"St. Helena Parish","LA",-90.7103,30.822,10872,0.9524,"St. Helena","Parish"
"St. James Parish","LA",-90.7931,30.027,20090,0,"St. James","Parish"
"St. John the Baptist Parish","LA",-90.4709,30.1264,41986,0.3333,"St. John the Baptist","Parish"
"St. Johns County","FL",-81.4407,29.9016,278722,0,"St. Johns","County"
"St. Landry Parish","LA",-92.0058,30.5989,82574,0.9048,"St. Landry","Parish"
"St. Lucie County","FL",-80.4721,27.3773,334682,0.5909,"St. Lucie","County"
"St. Martin Parish","LA",-91.6083,30.1291,51856,0.2698,"St. Martin","Parish"
"St. Mary Parish","LA",-91.4486,29.7207,49114,0.6667,"St. Mary","Parish"
"St. Tammany Parish","LA",-89.9584,30.4103,266168,0.0794,"St. Tammany","Parish"
"Starr County","TX",-98.7387,26.5621,65716,0.9921,"Starr","County"
"Sterling County","TX",-101.0501,31.8278,1392,0.0356,"Sterling","County"
"Stone County","MS",-89.1177,30.79,18360,0.4074,"Stone","County"
"Stonewall County","TX",-100.2534,33.1792,1331,0.1265,"Stonewall","County"
"Sumter County","AL",-88.1988,32.5911,12196,0.8636,"Sumter","County"
"Sumter County","FL",-82.081,28.7048,131832,0.0303,"Sumter","County"
"Sunflower County","MS",-90.5886,33.6023,25867,0.8272,"Sunflower","County"
"Sutton County","TX",-100.5382,30.4984,3345,0.6759,"Sutton","County"
"Suwannee County","FL",-82.9915,30.1956,43881,0.6818,"Suwannee","County"
"Talladega County","AL",-86.1659,33.3801,81105,0.8333,"Talladega","County"
