Tract,CountyFips,BldgSchemesId,Tract6,TractArea,Length,NumAggrBocks,CenLat,CenLongit,ESRI_OID,FID,CountyFips_1,CountyFi_1,CountyName,State,StateFips,NumTracts
45015020407,45015,1,20407,22.584507,71.3313675,179,32.855865,-79.914452,172,625,45015,15,Berkeley,SC,45,48
45015020503,45015,1,20503,194.7497101,199.6912079,115,33.199322,-80.07402,173,625,45015,15,Berkeley,SC,45,48
45015020504,45015,1,20504,20.4548054,69.0897141,84,33.201126,-80.014832,174,625,45015,15,Berkeley,SC,45,48
45015020505,45015,1,20505,8.3796797,38.0487213,60,33.162365,-80.039818,175,625,45015,15,Berkeley,SC,45,48
45015020506,45015,1,20506,19.9914474,91.8972778,121,33.188217,-79.997681,176,625,45015,15,Berkeley,SC,45,48
45015020601,45015,1,20601,17.5531139,57.0199432,121,33.119389,-80.047806,177,625,45015,15,Berkeley,SC,45,48
45015020602,45015,1,20602,100.553566,180.0942993,128,33.083759,-79.988953,178,625,45015,15,Berkeley,SC,45,48
45015020707,45015,1,20707,55.3408012,150.3982391,130,33.055786,-80.051399,179,625,45015,15,Berkeley,SC,45,48
45015020710,45015,1,20710,68.200592,161.8729095,87,33.080402,-80.178673,180,625,45015,15,Berkeley,SC,45,48
45015020711,45015,1,20711,44.7033119,136.7826691,129,33.125278,-80.106216,181,625,45015,15,Berkeley,SC,45,48
45015020712,45015,1,20712,12.2362814,58.1715279,54,33.093189,-80.095985,182,625,45015,15,Berkeley,SC,45,48
45015020713,45015,1,20713,31.2584229,103.5621872,124,33.058849,-80.132149,183,625,45015,15,Berkeley,SC,45,48
45015020714,45015,1,20714,7.7071362,61.3751373,58,33.028419,-80.136078,184,625,45015,15,Berkeley,SC,45,48
45015020715,45015,1,20715,2.678571,25.1444874,32,33.037262,-80.12233,185,625,45015,15,Berkeley,SC,45,48
45015020716,45015,1,20716,9.7536039,74.7920761,92,33.014896,-80.108147,186,625,45015,15,Berkeley,SC,45,48
45015020717,45015,1,20717,4.2139535,30.1559849,51,33.028976,-80.096909,187,625,45015,15,Berkeley,SC,45,48
45015020718,45015,1,20718,5.6546855,35.6796303,53,33.041965,-80.089584,188,625,45015,15,Berkeley,SC,45,48
45015020719,45015,1,20719,3.0840976,26.9532528,32,33.0326,-80.071045,189,625,45015,15,Berkeley,SC,45,48
45015020720,45015,1,20720,4.0533328,33.9971581,49,33.01918,-80.062653,190,625,45015,15,Berkeley,SC,45,48
45015020721,45015,1,20721,5.7810273,35.683239,37,33.003983,-80.080109,191,625,45015,15,Berkeley,SC,45,48
45015020722,45015,1,20722,2.4934702,23.6085758,30,33.005741,-80.061569,192,625,45015,15,Berkeley,SC,45,48
45015020723,45015,1,20723,2.7455313,25.9088078,48,32.997055,-80.046829,193,625,45015,15,Berkeley,SC,45,48
45015020724,45015,1,20724,51.9019699,96.6777267,48,32.977913,-79.969231,194,625,45015,15,Berkeley,SC,45,48
45015020725,45015,1,20725,1.7737401,16.6554508,31,32.97036,-79.986023,195,625,45015,15,Berkeley,SC,45,48
45015020804,45015,1,20804,2.2699425,20.0125618,35,32.975426,-80.012337,196,625,45015,15,Berkeley,SC,45,48
45015020806,45015,1,20806,2.6897044,29.5473461,51,33.020149,-80.030937,197,625,45015,15,Berkeley,SC,45,48
45015020807,45015,1,20807,12.9453907,65.1271515,110,33.019085,-80.015991,198,625,45015,15,Berkeley,SC,45,48
45015020808,45015,1,20808,3.1975152,27.0243454,40,32.994499,-80.018219,199,625,45015,15,Berkeley,SC,45,48
45015020809,45015,1,20809,4.3488679,34.9085884,54,32.985695,-80.023506,200,625,45015,15,Berkeley,SC,45,48
45015020810,45015,1,20810,3.2666523,21.7885475,31,32.967346,-80.021133,201,625,45015,15,Berkeley,SC,45,48
45015020811,45015,1,20811,1.9419436,18.5659237,20,32.961224,-80.011749,202,625,45015,15,Berkeley,SC,45,48
45015020812,45015,1,20812,9.0464478,45.1616783,45,32.944958,-80.009972,203,625,45015,15,Berkeley,SC,45,48
45015020901,45015,1,20901,0.9554061,10.1352329,18,32.907776,-80.008064,204,625,45015,15,Berkeley,SC,45,48
45015020903,45015,1,20903,3.8854766,25.4124756,37,32.916618,-80.009995,205,625,45015,15,Berkeley,SC,45,48
45015020904,45015,1,20904,5.3417778,25.5151157,26,32.954197,-80.035118,206,625,45015,15,Berkeley,SC,45,48
45015021000,45015,1,21000,10.783246,58.8787384,78,32.910423,-79.989891,207,625,45015,15,Berkeley,SC,45,48
45015980100,45015,1,980100,24.6900406,60.4639397,24,32.951954,-79.951454,208,625,45015,15,Berkeley,SC,45,48
45017950100,45017,1,950100,300.1496277,447.0093079,175,33.742577,-80.918625,209,626,45017,17,Calhoun,SC,45,4
45017950201,45017,1,950201,66.075882,93.728363,79,33.642513,-80.766891,210,626,45017,17,Calhoun,SC,45,4
45017950202,45017,1,950202,213.458252,270.9514771,157,33.686539,-80.822891,211,626,45017,17,Calhoun,SC,45,4
45017950400,45017,1,950400,436.0484924,464.4941711,248,33.594353,-80.635666,212,626,45017,17,Calhoun,SC,45,4
45019000100,45019,1,100,0.7430165,12.5631857,43,32.774456,-79.938484,213,627,45019,19,Charleston,SC,45,98
45019000200,45019,1,200,0.7470108,12.6073961,42,32.774521,-79.930359,214,627,45019,19,Charleston,SC,45,98
45019000400,45019,1,400,0.630415,10.3588285,44,32.782539,-79.935303,215,627,45019,19,Charleston,SC,45,98
45019000500,45019,1,500,1.066573,11.8876286,38,32.780437,-79.944176,216,627,45019,19,Charleston,SC,45,98
45019000600,45019,1,600,0.8479372,12.4974604,30,32.785301,-79.948921,217,627,45019,19,Charleston,SC,45,98
45019000700,45019,1,700,0.721558,10.8242235,42,32.789478,-79.938828,218,627,45019,19,Charleston,SC,45,98
45019000900,45019,1,900,1.312511,9.5913076,31,32.796246,-79.933922,219,627,45019,19,Charleston,SC,45,98
45019001000,45019,1,1000,0.4528931,8.5078192,28,32.791828,-79.944366,220,627,45019,19,Charleston,SC,45,98
45019001100,45019,1,1100,1.1001436,14.9082565,39,32.791435,-79.953545,221,627,45019,19,Charleston,SC,45,98
